"title","author","state","date","ver.purchase","helpful","format","stars","comments"
"Thumbs Up","Nonsha","United States ","February 8, 2021",1,NA,"Twilight BlueConfiguration: Echo Dot",5,"Had this for a few days now. So far I love it. My only complaint is that Amazon sells the EXACT same thing for more money because it has a clock. Really.... Just put a clock in all of them and have a button to turn it off for those who do not want to see it. Not to mention and price difference. LOL wow the consumer really gets raked sometimes.  Other than the above, I love this thing... The sound quality is excellent, it looks nice and not gaudy, the interface with the the users is great.  Oh ya it would be nice if it had a built in hub for the same price... Ya I know the other one does for more money.  Oh well. I knew what I was buying.  I would buy this again and recommend."
"4th Gen is the worst sounding Echo Dot ever. No bass, harsh mids -- a major downgrade from 3rd Gen","KD Mann","United States ","December 1, 2020",1,NA,"CharcoalConfiguration: Echo Dot",1,"My headline pretty much sums it up.  I've been 'all in' on the Echo device family for over a year now and this one is a huge disappointment.  In addition to the lousy, thin and tinny sound, my black Dot device was shipped with a white power cord and you can't imagine how dumb that looks until you see it.  I actually thought I'd gotten a defective unit until I chatted with support and then came here to look for reviews with the search term 'bass'.I can't imagine why the Echo Dot product managers at Amazon thought this would fly...there must have been some huge cost savings vs. the 3rd Gen Dots.I'll look forward to the 5th Gen Dot...whenever that happens."
"Downgrade","David W Smith","United States ","November 27, 2020",1,NA,"CharcoalConfiguration: Echo Dot",1,"Initial impressions are the gen 4 device doesn't sound better than gen 3 its bulkier the mic doesn't pick up as well, as others have pointed out the Black models comes with a white wall wart and cable.Removing a star as I've had more time to use the new echo every time I connect it to my Bluetooth speaker the same one I used with previous generation echo the 4th gen refuses to listen and has to be unplugged and rebooted"
"Frustrating! No Apple Music *2/20/21 UPDATE*","TomP","United States ","January 21, 2021",1,NA,"Glacier WhiteConfiguration: Echo Dot",2,"**UPDATE** 2/20/21No longer connects to Apple Music. I’m not the only one with the issue. Check the Apple Music “skill” reviews. Amazon must be desperate for Music customers.This was a major downgrade and step in the wrong direction for the Echo Dot. We have 2, 3rd generation dots and one Echo Plus. I recommend finding an old 3rd generation or waiting for another update.The 3rd gen and Plus always hear ""Alexa"" on the first try at a normal speaking voice. This 4th gen requires we're either standing right next to it or shouting across the room. It's very frustrating.I'm no audiophile, but the sound quality is noticeably worse on this latest generation."
"Good sound in a small device","aJayM","United States ","March 18, 2021",1,NA,"Twilight BlueConfiguration: Echo Dot",5,"Sounds nicer with deeper bass than earlier Echo Dot models. The regular price is a bit too high, though, so I would wait for sale which seems to happen often enough.I dislike the completely sphere shape as it is difficult to hold. I have so many Echo devices that name label has to be put on each one so I can call or drop-in the correct unit, but the sphere does not allow for label placement. Perhaps a small tube base would be better and would allow for mounting alternatives.Alexa works okay, but it has a bad clock implementation. For example, if I set an alarm for 14:00, it replies as 2 o'clock. That is confusing when it replies in 12-hour format. Crazy."
"Una excelente compañía","Claudio Ureña","United States ","December 26, 2020",1,NA,"CharcoalConfiguration: Echo Dot",5,"Fácil de configurar y utilizar.Le cuesta reconocer los comandos si se habla muy rápido o se está a más de 7 metros (aprox).El audio es básico, pero en funcionalidad es excepcional."
"Not as good as the previous generation","KhiavDim","United States ","December 3, 2020",1,NA,"CharcoalConfiguration: Echo Dot",1,"I wanted to like this new Echo Dot. It looks sleek and had potential. However, it does not ""hear"" as well as the previous generation.I bought this to replace my Echo Dot 3rd generation because there was a deal and why not? However, I returned it after a week of use because it was not able to hear my voice as well. For my 3rd gen Echo Dot, I didn't have to actually turn to it and speak or even had to speak as loud. This new 4th generation, I have to raise my voice louder and to speak directly at it.  Especially at night, where I sound like I'm yelling at it in the middle of the night. After I week I just returned it.I wanted to love it but I couldn't."
"Terrible Product","Wade","United States ","December 8, 2020",1,NA,"CharcoalConfiguration: Echo Dot",1,"I purchased the new dot with anticipation hoping Amazon once again had a 5 star product.  This is NOT it.  First I received a black echo with a white cord.  really?  I decided to ignore that issue and set it up.  The new dot just wont work.  I have 6 echo dots from different generations around my house and have loved the way they work.  Not so with the latest iteration.  It constantly locks up requiring a reboot.  When it does work (rarely) it cant hear as well as my 97 year old father (and (Dad, I love you), that's not saying a lot as he is deaf).  You have to repeat everything you ask multiple times.  More often than not it doesn't hear you at all but when it does, it gets your commands wrong (misunderstands them).  Amazon struck out on this one ... DO NOT BUY!!!!"
"Volume and voice recognition need some work in the fourth generation","Jathan & Heather","United States ","January 13, 2021",1,NA,"Glacier WhiteConfiguration: Echo Dot",4,"I typically love my Echo Dot products. The fourth generation is pleasing to the eye, and I really anticipated getting better sound and voice recognition with this model. However, my third generation seems to work better in this regard, as it is louder than the fourth. For example, I typically have my third set on a level five while cooking. To get the same volume on the fourth, I have to turn it to a level eight. I'm not really sure why that is. When speaking at a normal volume, the third picks up my voice better. When whispering, my fourth picks up my voice better. It's really strange. I know these devices learn as they go, getting updates and behind the scenes tweaks, so I'm hoping this will level out in the months to come."
"Echo 2nd or 3rd generations still out perform this new model!","Utahron","United States ","March 29, 2021",1,NA,"CharcoalConfiguration: Echo Dot",3,"The new model is very nice looking but so much is worse than the previous models in design! This new model is so hard to see the lights on when trying to talk to your device. It also does not hear as well as past designs. The controls on top of the device are so hard to see unless you are standing over it so don't put it up on a high shelf. Overall, the sound, microphone, visual cues, and functionality is not worth the price. Buy the older Echo Dots they are better!"
"Alexa, this is a great device!","Scott Greaves","United States ","January 21, 2021",1,NA,"Twilight BlueConfiguration: Echo Dot",5,"I have stayed away from voice activated devices.  I just didn’t have faith that they would work reliably.  But my Wife got a chance to try one, and liked it, so we tried the Alexa on our Amazon Fire TV, and liked it.  So when these Echo Dots went on sale after Thanksgiving, we ordered it up.  This is one nice unit!  We installed it in our kitchen, and we use it all the time to time things, and to listen to tunes.  The sound is great, and it’s nice having access to lots of different music.  We also ordered the Mickey Mouse clock that went with this, and we love it!  It’s so nice to be able to see at a glance how much time is left on a timer!  We are believers in Alexa now!"
"Didn't want to get one, but we like it","R. Wags","United States ","January 25, 2021",1,NA,"Glacier WhiteConfiguration: Echo Dot",5,"I have resisted getting any smart speaker device since they came out.  A friend got one and I was able to see the control the software gave and some of the small ways the device can be helpful.  We got two so that I could make it easier for my father to turn off and on his light and fan when he wanted to without having to get up late at night. It also is helpful for him to be able to get the time by asking as his eyes are not as good as they used to be.  We use it for more simple things like reminders, timers, and playing music.  I know it can do much more and over time I think we will use it more.  I think we got two echo dots for 50.00, so the price was very good for what the device can do."
"like the upgrade","Verified Customer","United States ","January 2, 2021",1,NA,"CharcoalConfiguration: Echo Dot",5,"We have two dots and the 4th generation Echo. We bought this unit because Amazon claimed that the speakers had improved over the larger 4th generation and this unit was on sale and was cheaper than an external speaker. We had the 4th geneeration since it came out and have always had ho hum sound, especially the base end. We can't judge wither the 4th generation has deteriorated. This unit appears to have better sound. We will see. We don't have the same expectations from the dot which are serviceable for their use.We would consider using the wall mounting for this unit but the price is egregious (half the cost for the unit. We will look for other options."
"AN UNFORTUNATE STEP BACKWARDS.","Chris","United States ","November 24, 2020",1,NA,"CharcoalConfiguration: Echo Dot",3,"Well, this was a disappointment. The previous echo dot is actually better. Sound quality on this one is horrible. Wifi range is also poor. (All compared to the 3rd gen Echo Dot, which I sent one back to replace with the 4th gen, kept 1 3rd gen though) This will definitely do for a child though. So it's not quite as bad as a 1 star item. You can still use it to drop in and talk to your child or family in another room so no one has to scream across the house or apartment lol. But if you enjoy relaxing and listening to some music while in bed, it lacks in the sound department. The 3rd gen for some reason sounds so much clearer and believe it or not 3rd gen has decent bass."
"BIG sound","Jaleesa Leslie","United States ","March 11, 2021",1,NA,"Twilight BlueConfiguration: Echo Dot",5,"Bought this to replace an older Echo Dot speaker that was starting to sound a little frayed. I like my volume up high and I stress every headphone or speaker that I've ever owned, it's true.I was surprised by how good the sound is on this one compared to the older model where, even when I had that thing cranked up to 10, the sound didn't go very far. The sound is so good on this that I never have to crank it up to 10, unless I feel like annoying my neighbors with power metal late at night. I can hear what I need to hear, even if I'm in another room, and with the volume barely up to halfway. That was not possible at all with the older generation Dot that I had.I received the older generation Echo Dot as a gift and was wary about purchasing a new model, but I'm very glad that I did. I am very satisfied with this purchase."
"Likes to Turn off Music By Itself","Roland Morin","United States ","January 7, 2021",1,NA,"Glacier WhiteConfiguration: Echo Dot",3,"Got this to listen to music in the home and a few other things. But the damn thing plays 2 songs from my shuffle on Spotify and then stops playing by itself. I don't use Amazon Music anymore because it should be included in PRIME not an extra fee because alot of music on Amazon Music is now an extra Price if its NEW so its another 7.99 a month... yeah not being screwed over by that. Anne-Tea-Wayz. It does Record you FYI it recorded a whole conversation and played it back without being asked to as well"
"Another waste of time and money","Bob Biddle","United States ","June 22, 2021",1,NA,"CharcoalConfiguration: Echo Dot",2,"What should've been fun--and it was for a couple of days--turned into a constant battle to get it working.  It would recognize my voice, but then shut off--over and over again.  One day, a yellow light under it came on and glowed for two days straight--I finally asked it what it was doing and Alexa said she didn't know what she was doing or why.  I unplugged it for two days only to have it start glowing yellow again and not responding to me.  So I threw it away.  A total waste of time and money."
"Feels like a downgrade from Echo 2nd gen.","Morales Family","United States ","December 14, 2020",1,NA,"CharcoalConfiguration: Echo Dot",2,"I upgraded from the tall Echo I had gotten in 2017, and i am not impressed with the new Dot. My biggest complaint is how I have to yell just so Alexa can hear my request. I already have 2 teenagers, I dont need one more person to yell at. LOLSo far, I haven't been able to find a way to make it more sensitive to my voice.The second complaint is that the sound quality is about 1/4 of what my old echo put out. Sounds like a basic bluetooth speaker. No depth, no bass Overall, just disappointed."
"Real owner and user of this product 4th gen echo dot","Bill Bigsby","United States ","January 29, 2021",1,NA,"CharcoalConfiguration: Echo Dot",3,"I am a real owner and user of this product. We have owned a 1st generation echo for at least a few years now. It worked great except the speaker on it wasn't that great. My son decided to purchase this 4th gen echo dot for xmas. I have to say, I'm a little disappointed in the microphone on this thing. I feel like I have to say ""Alex"" a couple of times, most times, to get it to respond. The old dot we never had to do that. Not sure if they are using cheaper mics? Anyway, the speaker IS better, but not that much better than the original. I does have a little bit more base. Again, not that much more.  That being said, I still use this thing to play music everyday."
"The Sound Quality is Amazing","Gregory Spruell","United States ","December 25, 2020",1,NA,"CharcoalConfiguration: Echo Dot",4,"Pros: Sound quality, interactive AI,Cons: Alexa is not as intelligent as Google in terms of providing information.I bought this because I have a Amazon Fire Stick on my TV and the combination of the two would make my house a little closer to being a technology driven household. It turns my TV on and off which is great. I like some of the tasks it performs and how it is starting to become more interactive with the household. I like to cute ball shape too as it does not delineate from the home decor for it blends in nicely. Music from the speakers are great almost Bose-like. Music listening is great for the sound is rich."
"Sounds like a tin can with a speaker in it","Jcarte","United States ","December 4, 2020",1,NA,"CharcoalConfiguration: Echo Dot",1,"The sound is horrible, they are going to send a replacement, but I have a feeling it will not help.  My gen 3 hockey puck sound is 100% better. I do not recommend upgrading to the gen 4 if you are looking for better sound.  Yes I adjusted the equalizer no help."
"Absolutely Terrible Sound Quality!!!","Harold Dzierzynski","United States ","November 27, 2020",1,NA,"CharcoalConfiguration: Echo Dot",1,"I was excited to get the 4th generation Echo Dot. I really like the look of the sphere shape.The sound quality is absolutely terrible!!! No bass at all. I went in to the Alexa App on my phone and tried to change the audio settings....not much of a difference. I will be returning this one.I went to place an order for another Echo Dot 3rd generation that is on sale for $18.99....not available until mid January 2021!!!What is going on AMAZON???"
"Updated 2/10/21 I’m not happy with it anymore.","Emily","United States ","December 9, 2020",1,NA,"Glacier WhiteConfiguration: Echo Dot",3,"***Update after owning a couple months****Yeah, I get it now. This one is not nearly as responsive as the others. I find that this one needs to be asked more than once before playing music, it often will not play music at all even though it will say “shuffling songs by ___” or “playing _____ radio from pandora”. I still stand by my statement that the sound quality is better  than the previous gen, but dang I’m disappointed it’s so unresponsive <U+2639><U+FE0F>Original review:I was really surprised seeing that people preferred the 3rd gen over this one! I found that this has exceptional sound compared to the older model. Total upgrade and I love it. Sound quality is amazing for our living room."
"I like the look... but that's it","Deno","United States ","December 15, 2020",1,NA,"Glacier WhiteConfiguration: Echo Dot",1,"I don't know if I got a lemon or what but everything is worse compared to the four Gen 3s I have. The sound quality is like an old toy radio from the 70s. There is zero bass. I even tried turning up the bass on the equalizer in the app. It didn't help at all.It almost never detects my voice on the 1st try. I can be in a completely quiet room a couple of feet away and it usually takes at least 3 tries for it to hear me. Half the time, one of the Gen 3s in a different room responds first. I've tried moving it to different rooms, putting it in different places in each room and nothing helped.PROS:-It was easy to set up.-I like the lookCONS:-Everything else"
"A must have for everyone!","Peter Danels","United States ","January 12, 2021",1,NA,"CharcoalConfiguration: Echo Dot",5,"I got one, then I got 3 more.The sound is amazing, just adjust using the app for even better sound.Teamed with the Sengled hub, we're controlling all 50 lights in the home flawlessly!Alexa is also handling our garage door, thanks to the installed Meross opener.We even get notified when the garage door opens, and are able to check that the door is closed no matter where we might be.This has transformed our home!Thanks Alexa!Note: they must be pretty strong because the dog got caught in the cord on one of them and it dropped about 4 ft right onto the marble floor.  She still works perfectly!"
"Great device .... except for the speakers <U+0001F615>","Elton K.","United States ","January 26, 2021",1,NA,"CharcoalConfiguration: Echo Dot",4,"Love the Echo Dot.  It’s functionality is really amazing ... keeping shopping lists, setting timers and reminders, accessing current and future weather, as well as news reports.  One feature I really like is that I can send voice messages to family and friends on my contact list (as long as they have a dot, or similar device too).  Another great feature is that it is quite inconspicuous ... small enough to hide amongst my books on the bookshelf, or between pictures on desk.The biggest negative for me is the speaker.  When I channel music through it, it sounds terrible ... I mean really lousy.  Even with that “disappointment”, I would still buy one."
"Below expectatives","Albert","United States ","June 1, 2021",1,NA,"Twilight BlueConfiguration: Echo Dot",2,"While this is a really amazing concept brought to reality, it is true to the fact that there is still a lot more improve and learn to finally say this is a worth having product. Sometimes I get frustrated having to repeat the very same thing up to 3 times just because the lady Alexa does not give enough time or it is preset to use only one response. All of that would be just fine, however the thing that really bothers me is how limited and tide to Amazons options it is. I would like to ask to search for things like I do in the browser, or listen to media and/or play audiobooks like I do in the browser, but that is just impossible, I hate having an advertising asking me to sign up for a Premium service. Not from me, I have better ways to spend my money than giving it to Amazon for a so-called premium service yet very limited."
"Disappointed","Amazon Customer","United States ","February 27, 2021",1,NA,"Glacier WhiteConfiguration: Echo Dot",3,"We have two 3rd generation echo dots and we love them. Great sound quality for small speakers and they’re easily mountable and out of the way. We bought the 4th gen expecting the same great quality. It’s Awful! It hardly ever recognizes our 3-year old’s voice (the others do fine), the sound quality when playing music is markedly worse than the previous generation. When we play music to all the devices at the same time, this one sounds hollow and cheap in comparison. I have adjusted the settings, but didn’t notice much improvement. It will pick up my husband’s voice from the adjacent room while, but won’t respond when I’m sitting right next to it. This one is difficult to mount as it’s more bulky, so it almost has to sit on a shelf. Overall, I’m pretty disappointed in this dot."
"Interesting","david","United States ","December 29, 2020",1,NA,"CharcoalConfiguration: Echo Dot",3,"Only had it a week or so but if you don’t write something Amazon hounds you daily till you doI like the RoundnessWas easy to inter grate into the web i already had in place - actually replaced an earlier versionSpeaker good not the best but nit bad( out of all the echos the first had the best speaker of them all )Got a bulb and this controls it so a bonus on that - easy to set up and has worked - knocking on wood - with out issues since set upGot it at a great price so pleased so farThe programs can’t do their job so “features” come and go with no rhyme or reasonAt the price I got this one I’d get others"
"My concert hall home","Regis","United States ","February 4, 2021",1,NA,"Twilight BlueConfiguration: Echo Dot",5,"I guess it depends on intended uses but I have everylhing from very expensive Bose stereo speakers to portable bluetooth single standing speakers and I find these to be excellent.  I have 3dots located in different corners of my single story home. They could use more base but the overall blend is perfect when all 3 are engaged. Best thing I can say is they are as good if not better than any car stereo . A lot like a car, so much depends on the acoustics of your surroundings. I have an open home with both carpets and oak floors and cathedral ceilings. My house is well insulated.  So given my set up, they're amazing for the money. Completely satisfied"
"Awful Mono laptop speaker quality","Tori","United States ","March 18, 2021",1,NA,"Glacier WhiteConfiguration: Echo Dot",1,"Sounds like someone’s phone speaker is playing inside of an empty tin can. Totally useless to try and equalize, all this has is treble and a hollow midrange. I own four other models of echo dots and this is so bad that I hear them from the other rooms while trying to match the volumes, this one has to be at level 5 to hear over them at level 3 25ft away. I was convinced there was a bitrate setting or something I’d missed but it’s really just awful."
"4th generation echo dot has superb sound","DocDeno","United States ","November 29, 2020",1,NA,"CharcoalConfiguration: Echo Dot",5,"I had the 2nd generation echo dot and had purchased a wireless speaker/battery that the dot sat in. I had purchased the 3yr. extended warranty and had to use it 1 month before warranty expired so I ordered the 4th generation echo dot and a new wireless speaker for the dot because I read reviews that the sound quality was bad, but guess what, the new 4th generation echo dot is loud enough for 1 room so don't worry about sound"
"Great alone or as a complement to an Echo Show","Gw","United States ","January 25, 2021",1,NA,"Twilight BlueConfiguration: Echo Dot",5,"We began with a Dot and liked it so much that we added an Echo Show for the kitchen (for watching news, videos of recipes, etc.)  We relocated the Dot to our study area, ideal for assisting with lookup of words we don't know while reading, etc., or as an intercom with the Echo Show or the other Dot we've now added. We love, as well, that we can place the Dot anywhere we want an extra speaker for listening to music playing on another Alexa device or watching a video on the Echo Show."
"Great Alexa device. But looks cheap","MS","United States ","January 16, 2021",1,NA,"CharcoalConfiguration: Echo Dot",3,"As far as the echo device and Alexa functionality is concerned, this latest generation echo is top notch.But these echo devices are increasingly looking cheap(er).Some major usability gripes:1. The +/- buttons are thin that you have to be look closely to press the correct button.2. I understand that you can control everything with voice. But I do use the physical buttons often. In this model, the button are on the same side as a power cable. So if you device is against the wall with power cord hidden, then the buttons are also party hidden. Its annoying. The buttons on the older device were right on top and easy to access."
"NO REGRETS. Good quality & looks fancy too!","Mariah Davis","United States ","May 9, 2021",1,NA,"Twilight BlueConfiguration: Echo Dot",4,"This is my first Alexa product so I can’t compare it to older models. HOWEVER, I’ve had many Bluetooth speakers over the years. This one is up to my standards! Good sound quality in my opinion. It has volume of 1-10. 1 is very quiet and 10 is very loud. I was surprised Alexa could hear me over the music at 10 but she hasn’t had any trouble! I have used this in my bathroom primarily, but also my kitchen. The main reason I wanted an Alexa is so that I could say “next” while I’m in the shower and skip songs. It’s been great for that! I don’t think I could go back now. A dream come true. I also like that I’m able to connect to FM radio stations in my local area! You just need to say “Alexa tune in to FM 95.1” & she connects! I also like that it stays connected to my mobile device. Once you Bluetooth pair it once, you’re good to go. Set up for this speaker was relatively easy! My only small complaint is that it isn’t cordless. I’m used to being able to carry a speaker around w me as I walk room to room. However, this one powers on quickly when you need to move it. No biggy! I hope my video was helpful. (Don’t worry about that static sound, that was part of the intro to a song.) NO REGRETS W THIS PURCHASE!"
"Yikes. Terrible sound quality compared to previous generation Dot. Buy the older one.","A Guy","United States ","June 3, 2021",1,NA,"CharcoalConfiguration: Echo Dot",2,"I added this to another purchase because it was offered at a discount and I like trying new speakers. This is a huge step down in sound quality versus the previous generation, flatter Dots. It sounds like a cheap, plastic Chinese $5 speaker whereas my older Dot (with clock) actually sounds pretty lush for its size and price.I don't have much else to say about it. I prefer the glowing ring on the top, but that's not a deal breaker.I'd return this and stick to the older models if this weren't a part of a package. Sound quality is so unimpressive and unpleasant, I might just give it away. As some others have also said, skip this generation of Echo speakers. Huge step back."
"Horrible Speaker.  The 3rd Generation Dot is MUCH better!","Selina Kyle","United States ","December 31, 2020",1,NA,"CharcoalConfiguration: Echo Dot",1,"Where do I begin...  With this device, you literally have to say Alexa multiple times before it wakes.  The sound quality is second rate and sounds like you're listening to music through a cheap speaker.  I thought I had a defective device with the first one I received so I got a replacement.  The second one was even worse.  The 3rd generation Echo Dot is way better and the sound is more crisp, in addition to packing a good sound.  The 4th generation Echo Dot makes me feel like I have problems with my hearing with how low the music plays, even at max.  With the 3rd generation Echo Dot, the volume is loud at 7.  I will be returning this junk because that's what it is.  I sincerely do not understand how this product got ANY good reviews.  In order for me to write a bad review, your product has to be the crappiest.  This company has plenty of money to improve the quality of their products."
"Step Above the Original Echo Dot","Leslie M","United States ","June 17, 2021",1,NA,"CharcoalConfiguration: Echo Dot",2,"I have 5 different types of Echo Devices in my house and this is a step above the original Echo Dot.We have theOriginal Echo Dot3rd Gen Echo Dot (3 of these)3rd Gen Echo (like a mini tower)Echo Show (10"") 2nd Genand the 4th Gen Echo Dot (ball version)I was expecting the quality of the sound on the 4th Gen Echo Dot to be like my 3rd Gen Echo Dots, which are great.  But this 4th Generation Echo Dot, the volume is not very loud and I feel only a slight step above the original Echo Dot.Very Disappointed in this, especially since not knowing this, I bought 9 of them for Nieces and Nephews for xmas"
"4th Gen a nogo","Kelli Lindboom","United States ","December 16, 2020",1,NA,"CharcoalConfiguration: Echo Dot",1,"If you have the echo dot 3rd Gen, and think that hey!, a new dot, I’ll replace one and move it to a least desirable location and out the new one that, it must sound better right? In its location... well , either move along and wait till the next Gen or get the bigger upgrade (assuming it’s better)Very tinny music, all treble and even that is a bit tinny. Mind you, I had them side by side (3rd and thus one) so obviously I’m about to put in for a return. We own currently, 6 - 3rd Gen dots , so we have a little experience on these."
"Not an improvement","Nick Kagy","United States ","May 4, 2021",1,NA,"CharcoalConfiguration: Echo Dot",2,"Generally Amazon does better with each generation, but this one is a misfire.We started realizing after a while that we had to consistently repeat ourselves after we added this to our living room. It never hears what we ask. Often it doesn't hear us at all. The sound quality is actually very terrible. It sounds absurd, like a toy in a room. I'm fine with that if it were a mini or an option for something smaller, but this is bigger and the previous version was way better.Once we replaced this with the previous version echo dot, all our issues of not being heard or the wrong things happening during commands were solved. Not worth the upgrade."
"It's nice but...","Chaz_O","United States ","November 10, 2020",1,NA,"CharcoalConfiguration: Echo Dot",4,"I got this to replace a 3rd Gen Dot that I had set up near a window so I could listen to music while sitting outside on my front porch in the hopes that it would be significantly so I could still hear the music even while conversations were happening. I will say the sound quality coming out is better the unit is no louder than the 3rd Gen dot which I found very disappointing. Aesthetically it is a good looking unit however I was disappointed that it came with a white cord (I ordered the charcoal to match my other dots throughout the house) that just looks out of place with all the others. I plan on keeping it but if you're looking to upgrade from the 3rd Gen to this one hoping for louder sound you may be disappointed."
"Wish I Hadn't Hesitated to Get These","Books4ever","United States ","June 26, 2021",1,NA,"CharcoalConfiguration: Echo Dot",5,"I've been buying Echo Dots (and other Amazon devices) since they first came on the scene. These are by FAR the easiest the Dots have been to set up. When I purchased them (Prime Day), I checked the box to have them registered before arriving. I took the two devices out of their boxes, plugged them in, and they automatically connected to the network where I'm temporarily staying for the summer (which is also in a different time zone).I have one of them in a remote room where my Gen 3 Echo Dots would not connect, so I suspect their ability to connect to wi-fi is also better.I also like the directional sound. Very pleased to have these."
"Setting them up naming a room so they don’t talk over one another.","Dylan Gaige","United States ","March 24, 2021",1,NA,"Twilight BlueConfiguration: Echo Dot",5,"Like the looks better than the others but I think I’m going to miss the light on top, more noticeable for notifications. I don’t hear much difference between them especially anymore Bass. I’d like to know how many people would appreciate it if you could give it their own name, I have 3 echoes 2 Fire TVS 2 computers a Laptop and my iPhone app all answers to Alexa I like that name for 1 but would like to name my others a name I like, not Computer or Echo but names of some of my favorite X Girlfriends or Daughter’s, Granddaughters, Niseis and so on. Let’s have a vote on it. Amazon is my Favorite place to shop at but not a name for my Devices!!!<U+0001F60E>"
"A Step Backwards for the Dot","Kindle Customer","United States ","December 15, 2020",1,NA,"Twilight BlueConfiguration: Echo Dot",3,"I am not usually one to write reviews, but I was so disappointed by this product that I had to write one.  I have several Echo Dots in my home and love the previous design (3rd Generation) When I went to purchase another, I found that this version (4th Generation) was the current offering.  Typically newer versions are improvements; however, I think this version of the Echo Dot is a step (or two) in the wrong direction.  Right out of the box, I noticed this Echo Dot seemed cheaply made.  A lot of plastic, round and with a “snapped together like a plastic Easter egg” appearance. Lacks the heft and durable feel of the previous version.  Even the cord is very generic and lacks the Amazon logo, and I literally went back to the website to make sure I didn’t mistakenly buy a cheap knock off brand.  It honestly looks like a low end Bluetooth speaker you’d get for a child.  Performance wise, this Echo Dot seems to lack the sensitivity of the previous version.  My others I can crank up and the devices can still hear any commands.  I found I had to frequently repeat myself to this version. No good.  And I don’t know if it is the round shape of the speaker or what, but the sound is not as good (especially at higher volumes) than the previous version.  The sound is not as rich or full and the volume doesn’t go as loud as the 3rd Generation.  At a higher volume, I felt the sound quality dropped.  In short, I love my Echo Dots but this version is a total downgrade.  I highly recommend seeking out a 3rd Generation Echo Dot for an all around better product."
"Sound quality is COMPLETE GARBAGE.","KDelacruz","United States ","December 7, 2020",1,NA,"CharcoalConfiguration: Echo Dot",1,"I have several 3rd Gen Echo Dots, which I love and have always been impressed with  They are small and discreet with a much bigger sound than is indicated by their size.  On seeing the new design for the 4th Gen Echo Dot, I assumed that an increase in sound quality would come with an increase in size.  Bigger is better, right?!?  Boy, was I wrong.  The sound of the round, softball sized 4th Gen Echo Dot is COMPLETE GARBAGE.  Tinny with a touch of AM radio, this new design is not only larger and less conspicuous, it sounds much worse than it's predecessor.  If you were using the Echo Dots as a cheap alternative to remote speakers by sprinkling them around your home, don't bother with this version.  I will be returning this one for a refund."
"VERY different sound quality from the Generatin 3 Dot","Brian","United States ","January 3, 2021",1,NA,"Twilight BlueConfiguration: Echo Dot",4,"These are all mid-range and treble - NO bass at all, even with it cranked up all of the way and the mid-range and treble cut way back.The Generation 3 were sometimes difficult to understand when it came to speech (announcements have NO treble to them), because they are all muddy bass, even with the bass turned down and the mid-range and treble cranked up.  (I've got both right here, so they are easy to compare.)Also, the model 4 is MUCH more directional than the Model 3."
"Awesome, but needs more work to make it even better.","Finnigan Thompson","United States ","January 30, 2021",1,NA,"CharcoalConfiguration: Echo Dot",5,"Here are the biggest things about Alexa that I've encountered that really disappointed me or were a setback to what I wanted to do with my smart speaker:1) Alexa will keep playing the next episodes of a podcast by default if you ask her to ""play the latest episode"" and there is no way to change this setting that I've been able to find after extensive googling and trying different workarounds or skills without success.  Why this is a problem: It essentially makes it impossible to integrate listening to just one podcast episode as part of an Alexa routine. If you put ""play the latest episode of X podcast"" into a routine, Alexa won't be able to execute any action that comes after this, because she'll be stuck in an endless loop of playing podcast episodes. This is especially frustrating because it would be SUCH AN EASY FIX!!! Alexa already knows when a podcast episode has finished playing; all that's needed is a setting to disable auto-play, or even better a voice command that specifies that you only want ONE episode, e.g. ""Alexa play ONLY the latest episode of X podcast.""2) There should be a command to ""toggle"" the power of a smart home device, meaning ""If the device is on, turn it off, and if the device is off, turn it on."" You might be thinking who would ever want that but this feature would actually allow for much ""smarter"" smart home control. For example, let's say you want to have the lights come on every time you enter your bedroom, and turn off every time you leave. If Alexa had a toggle feature for smart devices, you could use the following routine to achieve this with a smart motion sensor just outside your door (i.e. it's activated whenever you enter or leave your room):When motion sensor detects motion:toggle bedroom light.Easy. Done."
"If you are looking for great sound - DON'T Choose this Dot","Lori L.","United States ","February 11, 2021",1,NA,"CharcoalConfiguration: Echo Dot",2,"We recently purchased two of the Gen 4 Echo Dots and the sound quality is HORRIBLE. The Gen 3 Echo Dot sounds MUCH better. If you want sound buy the Gen 3.If the price wouldn't have gone up so much from when we purchased the Gen 3 Dots I would have returned the Gen 4s in a second and purchased two more Gen 3s.I was able to find the adjustments for Base, Mid Range, and Treble; however, even with adjusting the settings the Gen 4 just doesn't produce quality sound.For now we are using one of the Gen 4s by connecting it to a Bluetooth speaker , the other one is in the dogs room (they like music when we are not home)."
