Star;Date;Colour;Review Title;Review Text
5;02-mar-18;Stile: InissiaColore: Nero Utile Segnala un abuso;Uauuuuu. Che bontà;Il caffè mi è sempre piaciuto- ma da quando ho acquistato questa macchina lo adoro ancora di più. Unica pecca. Vorrei trovare delle capsule compatibili a quelle della Nespresso- biodegradabili. Sapete consigliarmene qualcuna dal gusto simile- con un prezzo ragionevole? Grazie
5;02-mar-18;Stile: InissiaColore: Nero Utile Segnala un abuso;ottimo prodotto;Ho dato 5 stelle per l'ottimo prodotto- il servizio del corriere un pò meno!Servizio clienti di amazon molto efficiente e disponibile- consiglio però di valutare meglio i corrieri su cui vi appoggiate (Bartolini veramente un servizio pessimo)
5;02-mar-18;Stile: InissiaColore: White Utile Segnala un abuso;XN 1001;1 :Molto bella questa Krups bianco panna- e' una macchina funzionale e fa' un buon caffe' la consiglio a tutti
5;02-mar-18;Stile: InissiaColore: Sky Blue Utile Segnala un abuso;Macchina per caffe;Macchina per caffe con cilade  nespresso semplice ma funzionale- assolve assolutamente bene la propria funzione.  Rapporto qualità prezzo assolutamente buona.
5;02-mar-18;Stile: InissiaColore: Nero Utile Segnala un abuso;Ottima macchina x il caffè espresso;La Nespresso è una garanzia.Consiglio l'acquisto di questo prodotto anche per il desingn semplice ma carino e di dimensioni piccole
3;28-feb-18;Formato: Cucina Utile Segnala un abuso;Buon caffè;L'ho acquistata  per tenerla in ufficio e dopo vari assaggi abbiamo trovato la capsula giusta per un ottimo caffè- chiudendo l'erogazione al momento giusto- e prima della opzione automatica- ottengo un buon caffè ristretto. Il cestello raccoglitore può ospitare fino a 8/10 capsule dopo l'utilizzo- poi va svuotata- ma va benissimo per il n° di persone del mio gruppo caffè. La vaschetta si riempie d'acqua durante l'utilizzo- ma non è un problema. Dopo ogni utilizzo-nelle due fasce orarie per la pausa caffè- faccio scorrere acqua pulita- poi svuoto e risciacquo cestello e vaschetta tutto in 2-3 minuti. Molto meglio della macchina Essenza mini che ho acquistato per casa di mamma pochi giorni dopo Inissia. La Essenza mini la sconsiglio perché può ospitare fino a max 4 capsule usate- poi deve essere svuotata- raccoglie secondo me troppa acqua nel serbatoio e mi fa il caffè troppo acquoso- anche se schiaccio subito il tasto per bloccare l'erogazione il caffè continua a fuoriuscire. Consiglio Inissia che è perfetta con alcune capsule compatibili- anche se non accoglie tutte le compatibili allo stesso modo. Sconsiglio Essenza mini.  Noto inoltre che le macchine di una volta erano molto più massicce- infatti ho una macchina Nespresso Essenza De Longhi  acquistata nel 2007 (il modello è diverso rispetto alla Essenza di oggi) e devo dire che è molto più compatta solo che non va molto bene con le capsule compatibili- infatti per timore di romperla uso solo le capsule originali con questa vecchia macchina.
5;28-feb-18;Stile: InissiaColore: Giallo Utile Segnala un abuso;Ottima;Macchina elegante- robusta e compatta- semplicissima da settare ed usare. La utilizzo con diverse qualità di caffè- Nespresso e compatibili- ed il risultato è sempre un ottimo caffè- niente da invidiare al bar. Buona capienza dei contenitori- acqua e recupero capsule. Soddisfattissimo- la consiglio.
5;28-feb-18;Stile: InissiaColore: Sky Blue Utile Segnala un abuso;Ok;Spedizioni regolare- apparecchio conforme alla descrizione - perfettamente funzionante - ottimo caffè- regalato a una persona che ne è rimasta fecice e soddisfatta
1;28-feb-18;Stile: InissiaColore: Nero Utile Segnala un abuso;Pessimo prodotto;Ho acquistato questo prodotto è non ha mai funzionato. Invece di far uscire l'acqua da davanti esce dietro. Ho difficoltà a mandarla in assistenza perché acquistata on line....
3;28-feb-18;Stile: InissiaColore: White Utile Segnala un abuso;deluso;LA MACCHINA MI E' STATA CONSEGNATA NEL GIORNO ESATTO. MA LO SCATOLO INTERNO NO' ESTERNO ERA APERTO E NELLA CONFEZIONE MANCAVAIL PACCHETTO DI BENVENUTO- QUELLO LOGICAMENTE CON LE CAPSULE.
5;28-feb-18;Stile: InissiaColore: Arancio Utile Segnala un abuso;Nespresso Inissia EN80.O Macchina per Caffè...;Qualità eccellente consiglio funziona anche con capsule compatibiliLa macchina ha poco ingombro- (vedi foto) è veloce nell'accensione (25 secondi scarsi) e nell'erogazione del caffè.
5;27-feb-18;Stile: InissiaColore: Giallo Utile Segnala un abuso;Regalo perfetto;Dopo anni- io e mio fratello abbiamo deciso di accontentare nostra madre- regalandole la macchina per caffè espresso. Facile da montare e da usare. Caffè molto buono e soprattutto veloce da preparare.Unica pecca il codice sconto: per poter eseguire l'ordine sul sito bisogna raggiungere la cifra minima di 40 euro e- tra l'altro- non accetta il pagamento con le comuni carte prepagate.
5;25-feb-18;Stile: InissiaColore: Nero Utile Segnala un abuso;Inissia;Utilizzata massivamente svariate volte al giorno...una pulita al serbatoio dell’acqua di tanto in tanto e non da alcun problema..ottima pressione dell’acqua e caffè schiumato davvero buono...a mio avviso la migliore macchinetta per capsule in commercio qualità/prezzo
5;25-feb-18;Stile: InissiaColore: Nero Utile Segnala un abuso;Ottima!;Acquistata qualche mese fa. È ottima. Consiglio di acquistare solo le cialde originali perché rendono decisamente di più- sia come sapore che come quantità del caffè.
5;24-feb-18;Stile: InissiaColore: Giallo Utile Segnala un abuso;Ottimo;Qualità prezzo ok.... ottimo acquisto.... caffè buono e compatibile con capsule non originali nespresso...consigliato! Vero affare consigliato a tutti gli amanti
5;22-feb-18;Stile: InissiaColore: Giallo Utile Segnala un abuso;Non solo caffè;Soddisfatta in pieno! L'ho acquistata perché stufa di non poter gustare comodamente a casa l'unica bevanda sostitutiva al caffè che mi piace bere- ossia il ginseng (consiglio le capsule Crastan). Cremoso e gustoso come quello delle macchinette dei bar- inoltre ho provato a farci anche i golden milk e the matcha. Chiaramente svolge perfettamente la sua funzione di macchina del caffè- che lascio gustare ad altri. Se solo l'avessi presa prima!
5;22-feb-18;Stile: Inissia & AeroccinoColore: Nero Utile Segnala un abuso;Ottimo;Ottimo facile da essere e punire per il caffè si puo' se farlo in automatico lungo corto secondo le Vs.  esigenze ottima la macchina per montare il latte cappuccino spettacolare
4;22-feb-18;Stile: InissiaColore: Giallo Utile Segnala un abuso;affidabilita;ho acquistato questa macchina del caffe per regalarla in quanto con la mia mi sono trovato benissimo inoltre l'assistenza e' molto efficiente
5;20-feb-18;Stile: InissiaColore: White Utile Segnala un abuso;Perfect!;Ottima macchinetta per caffè e bevande. Le capsule originali sono un pó care- ma fortunatamente è possibile reperire ottime capsule a poco.
1;19-feb-18;Stile: InissiaColore: White Utile Segnala un abuso;Perchè comprarla?;Macchina del caffè compatta e funzionale. Il fissaggio del serbatoio posteriore è veramente debole e- quando si solleva la macchina- si ribalta...il mio è fissato con lo scotch
5;18-feb-18;Stile: InissiaColore: Giallo Utile Segnala un abuso;Ottima qualita prezzo;Macchia del caffè piccola e compatte- ci sta anche in poco spazio e dopo solo 25 secondi si è pronti per fare il caffè. Arrivata in un giorno molto conveniente e di facile utilizzo mi trovo molto bene. Nella confezione erano presenti 16 capsule per la degustazione.
5;18-feb-18;Stile: InissiaColore: White Utile Segnala un abuso;Fantastica macchina del caffè;Macchina del caffè davvero compatta e funzionale- ne ho comprate 2 e sono rimasta davvero soddisfatta.Facile da utilizzare e soprattuttoil  caffè è buonissimo e con il buon sconto ricevuto si riesce a fare una buona scorta di capsuleio personalmente utilizzo anche le compatibili e mi trovo benissimo
4;18-feb-18;Stile: InissiaColore: Nero Utile Segnala un abuso;Con Nesprsso non si sbaglia!;La macchina fa degli ottimi caffè- rapporto qualità prezzo molto buono.Lo consiglio per chi non ha molto spazio e comunque vuole una macchina del caffè di qualità!
1;16-feb-18;Stile: InissiaColore: Arancio Utile Segnala un abuso;Sono rimasto deluso;Ho fatto 2 caffè ma sono venuti acquosi.Come mai? Posso avere qualche indicazione visto che Nespresso in genere il caffè viene cremoso.Ho usato capsule originali.
5;15-feb-18;Stile: InissiaColore: Sky Blue Utile Segnala un abuso;Macchina caffè inissia;Ottimo rapporto qualità prezzo- ottimo prodotto- per ora soddisfatto pienamente- caffè meglio che al bar...da consigliare a chi piace il caffè in generale...
4;15-feb-18;Stile: InissiaColore: Nero Utile Segnala un abuso;https://www.amazon.it/dp/B00G5YOVZA/ref=cm_cr_ryp_prd_ttl_sol_1;Nulla da dire come tutte le macchine per capsule e pratica e rispetta quanto riportato nelle descrizioni e ha avuto un successo come regalo
5;14-feb-18;Stile: InissiaColore: Nero Utile Segnala un abuso;Nespresso;arrivata nel tempi previsti- pacco integro e prodotto integro- la macchina funziona perfettamente si spegne in automatico e si riscalda molto velocemente- peccato per il serbatoio delle capsule usate un po piccolo- consigliata
4;14-feb-18;Stile: InissiaColore: Giallo Utile Segnala un abuso;Finalmente un buon caffè;Macchinetta del caffè carinissima esteticamente- di dimensioni ridotte ma eccellente per le funzionalità. Arrivata in anticipo rispetto ai tempi previsti con in regalo 16 capsule di caffè Nespresso da provare. Ottimo il caffè. Unica nota dolente- un pò troppo rumorosa.
5;13-feb-18;Stile: InissiaColore: Nero Utile Segnala un abuso;Perfetta;Acquistata in occasione del black friday ad un prezzo davvero conveniente. Finalmente una macchina del caffè pratica- comoda e funzionale... la ricomprerei certamente!
2;12-feb-18;Stile: InissiaColore: Giallo Utile Segnala un abuso;Buona- ma con riserva !;Sono sempre più entusiasta di comprare su Amazon- con servizio al cliente ineccepibile e senza eguali.La macchina in oggetto è una meraviglia in miniatura- compatta- carina e molto pratica...La trovo con  un ottimo rapporto qualità /prezzo- niente da dire- anzi- costruita con materiali di buona qualita ed un ottimo assemblaggio degli stessi.Una grande pecca o difetto- è  il fatto che non sono riuscito a trovare- nonostante abbia provato decine e decine di marche di capsule-  almeno una che mi entusiasmi pienamente.Infine altra nota dolente- il manuale d'istruzioni è poco chiaro- infatti non sono riuscito a comprenderlo del tutto.
1;12-feb-18;Stile: InissiaColore: Giallo Utile Segnala un abuso;si blocca;dopo il primo caffè per ottenerne un secondo o altri si deve continuamente premere il pulsante di erogazione per aggiungere altre piccolissime dosi ed arrivare alla dose tazzina- la pompa è molto rumorosa
5;10-feb-18;Stile: InissiaColore: Arancio Utile Segnala un abuso;Amore a prima vista;Un prodotto perfetto in tutto. Non si può chiedere di meglio per gustare un caffè come quello del bar per cremosità e aroma. Già pochi secondi dopo l'accensione il caffè  esce slla giusta temperatura e cremoso al punto giusto. Design carino e simpatico. Io ho preso il colore arancione e sono molto soddisfatto. Amore a prima vista e prezzo super (69 euro con 30 euro di capsule)!!!
5;10-feb-18;Stile: InissiaColore: Nero Utile Segnala un abuso;La migliore;Ormai è la seconda che acquisto- dato che la prima si è rotta (non so quanto tempo fosse passato- forse 3 anni). Il problema non era troppo diffcile da risolvere (si trattava di una guarnizione interna- per cui avrei dovuto smontare la macchina) ma il pensiero di rimanere troppi giorni senza caffé mi ha fatto propendere per l'acquisto prime di una nuova.
4;10-feb-18;Stile: InissiaColore: Arancio Utile Segnala un abuso;Un buon prodotto;La macchina in questione è pratica e funzionale. Le sue dimensioni compatte le le varietà di colori la rendono facilmente inseribile in qualsiasi contesto. Le miscele delle capsule originali sono davvero ottime.
5;10-feb-18;Stile: InissiaColore: Giallo Utile Segnala un abuso;Ottimo rapporto qualità prezzo;Carina e di dimensioni contenute sta benissimo in cucina. Semplicissima nell'utilizzo- ho fatto felice mia mamma che può farsi il caffé come quello del bar. Si scalda in tempi veloci e il caffé viene bello caldo e cremoso. Ovviamente la cremosità dipende dalle cialde- peraltro in giro si trovano tantissime cialde compatibili. Pienamente soddisfatti.
5;10-feb-18;Stile: InissiaColore: Nero Utile Segnala un abuso;Soddisfatta;È la seconda che acquisto- propio per la sua semplicità per gustarsi un ottimo caffè .Peccato che a differenza del precedente acquisto non era comprensivo della promo delle cialde.
5;08-feb-18;Stile: InissiaColore: Nero Utile Segnala un abuso;CONSIGLIATA;Una macchina del caffè che fa bene il suo dovere- pratica e facile da usare. Si può scegliere di preparare un caffè corto oppure lungo mediante gli appositi tastini di selezione. Si inserisce la capsula nel suo vano e in meno di un minuto il caffè scende già caldo. Un consiglio utile e di mettere nel suo contenitore sempre acqua oligominerale- per evitare di rovinare la serpentina interna e x evitare di acquistare dei prodotti adatti allo scopo. E' adatta x tanti tipi di capsule anche compatibili di diversi gusti di caffè e altro. ( thè- cioccolata- cappuccino di soia- caffè aromatizzati ecc.) Ottimo acquisto. Lo consiglio.
3;08-feb-18;Stile: InissiaColore: Giallo Utile Segnala un abuso;macchina caffe';soddisfatta del prodotto- delusa della gestione amministrativa promozionale a cura della nespresso che mi ha impegnato in diverse telefonate al call center- lungaggini e burocrazia eccessive
4;08-feb-18;Stile: InissiaColore: White Utile Segnala un abuso;soddisfa le aspettative;riscaldamento rapido anche se un po rumorosa nel funzionamento- pulizia facile e serbatoio di acqua abbastanza capiente. Ingombro della macchina ridotto.
4;08-feb-18;Stile: InissiaColore: Nero Utile Segnala un abuso;Parere sulla Inissia EN 80 B De Longhi;La trovo efficace e semplice da usare.Soddisfa appieno le mie esigenze- sopratutto  quando ho molti ospiti! In questo caso è  anche divertente fornire un servizio bar casalingo!
5;08-feb-18;Stile: InissiaColore: White Utile Segnala un abuso;Ottimo rapporto qualità prezzo;Ottimo rapporto qualità prezzo. Arrivata nei tempi previsti- rispecchiando tutte le caratteristiche descritte. Il caffè esce caldo e non occupa molto spazio.
5;07-feb-18;Stile: InissiaColore: White Utile Segnala un abuso;VIVAMENTE CONSIGLIATA;Questa macchina si é rivelata un ottimo prodotto soprattutto per il rapporto qualità/ prezzo - fa un buon caffè caldo e cremoso - é possibile utilizzare anche delle capsule compatibili .Risulta un tantino rumorosa ma questo è un dettaglio di poco conto tenendo presente gli altri vantaggi : la linea gradevole - il minimo ingombro- la possibilità di scegliere tra caffè normale e ristretto utilizzando l’apposito tasto - la notevole varietà di aromi da provare .Ho potuto anche usufruire di un buono sconto di € 30 sulla prima fornitura delle capsule .Assolutamente soddisfatta !
4;07-feb-18;Stile: InissiaColore: Sky Blue Utile Segnala un abuso;Nespresso Inissia XN1004 Macchina per Caffè... Krups;Veramente carina-il caffe' viene buono e cremoso sia con le cialde originali Nespresso che con Borbone respresso .Lasciate perdere le altre cialde compatibili che trovate nei vari supermercati- il caffe' viene senza corpo e senza gusto.
1;07-feb-18;Stile: InissiaColore: Arancio Utile Segnala un abuso;Uscita l' acqua da sotto la macchinetta;Levata dalla scatola e messa in funzione.. MI USCIVA L'ACQUA DA SOTTO.. Provata 2/3 volte... Ma sempre uguale.. Ho fatto la sostituzione..Speriamo bene..
5;05-feb-18;Stile: InissiaColore: Nero Utile Segnala un abuso;Ottima macchinetta qualità/prezzo;Valida macchinetta del caffè. Occupa poco spazio e si scalda in pochissimo tempo. Fa anche the e tisane ma non sono il massimo.I caffè li fa buonissimi con una crema fantastica.
2;04-feb-18;Stile: InissiaColore: Nero Utile Segnala un abuso;Deludente;Caffè buono- come tutti i Nespresso- prodotto deludente in quanto perde continuamente acqua dalla parte inferiore sporcando tutto il piano di appoggio. Credevo fosse difettosa- Amazon eccezionale me l 'ha sostituta con una nuova- ma il problema resta sempre lo stesso. Deludente
5;03-feb-18;Stile: InissiaColore: White Utile Segnala un abuso;Finalmente;Il caffè con la schiumetta è buonissimo- meglio che in alcuni bar. Perfetta per un uso casalingo- non ingombra e pratica- si scalda subito anche se il primo caffè non è caldissimo...
5;03-feb-18;Stile: InissiaColore: White Utile Segnala un abuso;Meravigliosa;È bella buona ed economica. Possiamo comprare altre caffee che va bene. Non solo nespresso. E comprando tu hai un bonus per comprare caffe nespresso
1;02-feb-18;Stile: InissiaColore: Giallo Utile Segnala un abuso;Non sono soddisfatta;Rispedita in riparazione perchè perdeva acqua durante l'erogazione del caffè e ogni 3-4 caffè la vaschetta sotto era piena d'acqua. Caffè corto o lungo dipende dai giorni- non c'è modo di regolare il dosaggio e ogni volta spegnevo manualmente raggiunta la quantità desiderata. Non è possibile ripararla e dopo 2 mesi e mezzo- contattandoli- mi mandano il rimborso. La sconsiglio.
5;02-feb-18;Stile: InissiaColore: White Utile Segnala un abuso;Soddisfatto;Tutto corrisponde alla descrizione e ai dati tecnici.Ordinata e ricevuta il giorno dopo con spedizione Standard. No prime !Unica pecca che terminata l'erogazione del caffè per qualche secondo sgocciola ancora.Assolutamente da non perdere
5;02-feb-18;Stile: InissiaColore: Arancio Utile Segnala un abuso;Ottima!!;La macchina molto facile da usare non ingombra molto spazio.Ottima per chi va di fretta- si scalda in pochissimo tempo e grazie alla linea di cialde della casa madre presenta molta scelta nei gusti dei caffè ( esistono anche cialde compatibili ).Consigliata pienamente- spedizione perfetta.
5;02-feb-18;Stile: InissiaColore: Nero Utile Segnala un abuso;Ottima;Utilizzo la macchinetta del caffè Nespresso tutti i giorni- sia con le capsule originali- che con quelle compatibili. Quando l'ho comprata ho anche ricevuto delle capsule gratis grazie a una promozione.
3;02-feb-18;Stile: InissiaColore: White Utile Segnala un abuso;Così Così;Macchina discreta !Caffè buono ma a volte bollente e a volte tiepido!Difetto....rumorossissima! La mattina quando faccio il caffè sveglio il vicino.
5;01-feb-18;Stile: InissiaColore: White Utile Segnala un abuso;Buon Caffè;Ho da solo un giorno questa piccola macchinetta. Sono rimasto sorpreso dalla bontà del caffè erogato dalle prime capsule di Nespresso in omaggio con la Inissia.Consigliata
4;01-feb-18;Stile: InissiaColore: Nero Utile Segnala un abuso;Prodotto molto buono e funzionale;il prodotto vale la somma spesa. compatibile con capsule BORBONE...FUNZIONA OTTIMAMENTE---UN PO' RUMOROSA MA IL CAFFÈ E' OTTIMO E CREMOSODOPO OGNI CICLO PULISCO SEMPRE LA MACCHINA FACENDO USCIRE ACQUA CALDA...
5;01-feb-18;Stile: InissiaColore: Giallo Utile Segnala un abuso;prodotto ok;ottimo  funziona perfettamente -soddifatto  del uso.Si spegne automaticamente in caso di dimenticanza.Lo uso quotidianamente -una o due volte al giorno.
3;31-gen-18;Stile: InissiaColore: Arancio Utile Segnala un abuso;macchina da caffè nespresso;Ho ricevuto la macchina nei tempi promessi. Funziona molto bene. Il problema è che non ho ricevuto il buono per l'acquisto di capsule nespresso e a quanto pare non si riesce a contattare Amazon. Passaggi per richieste preimpostati e obbligatori. Non sono soddisfatto...
5;30-gen-18;Stile: InissiaColore: White Utile Segnala un abuso;Migliore acquisto del 2018;Migliore acquisto del 2018!!! Sono stra contenta di aver speso questi soldi- perché essendo amante del caffè è stata la soluzione migliore!! Pratico- veloce e poi non sporchi nulla. Inserisce laCapsula e viaaaa parte un ottimo caffè.. CONSIGLIATISSIMO!!!
4;30-gen-18;Stile: InissiaColore: White Utile Segnala un abuso;Nespresso inissia krups-bella scoperta.;Ottima macchina piccola ma potente -esce un buon caffè- x fare uscire il caffè caldo effettuare il primo a vuoto facendo uscire sl acqua e poi  anke se scegliete il pulsante del  Caffè corto nn fatelo erogare fino alla fine se no viene un po acquoso.al momento sto usando ancora capsule Nespresso buone ma un pò care.
5;29-gen-18;Stile: InissiaColore: Nero Utile Segnala un abuso;Ampiamente compatibile e compatta;Essenziale e abbastanza compatta. Un prodotto ottimo sia per un single- ma anche per famiglie. Con il serbatoio pieni si fanno una quindicina di caffè.La particolarità è che oltre alle capsule Nespresso- anche altre cialde sono compatibili con il prodotto. Non con tutte- ma con alcune. Facile da pulire e semplice da usare (si possono fare sia caffè normali che lunghi o addirittura usarla per riscaldare l'acqua per il tè).Comprata ad un prezzo minore durante il Black Friday: davvero un affare.
3;29-gen-18;Stile: InissiaColore: Nero Utile Segnala un abuso;Mi aspettavo qualcosa di più;Acquisto la mia terza macchina caffè Nespresso
5;29-gen-18;Stile: InissiaColore: Arancio Utile Segnala un abuso;Macchina caffè;sono veramente soddisfatto-arrivata puntuale come sempre..e poi ho sfruttato il bonus di trenta euro per l'acquisto di nuove capsule..ve la consiglio
5;29-gen-18;Stile: InissiaColore: Arancio Utile Segnala un abuso;Ottimo acquisto.;Ottima macchina fa un buon caffè- molto cremoso. Occupa poco spazio ed è pronta in un attimo. Estetica gradevole. Unico difetto- potevano dedicare un tasto per accensione e spegnimento. Spedizione rapidissima- un giorno prima della data prevista.
5;28-gen-18;Stile: InissiaColore: White Utile Segnala un abuso;Ottima;Ottimo acquisto! Mai bevuto caffe così buono- neanche al bar! Noi preferiamo le capsule borbone alle originali perché il caffè viene meno liquido e più denso- questione di gusti naturalmente- comunque la macchina la consiglio assolutamente! La ricomprerei mille volte!
5;28-gen-18;Stile: InissiaColore: Giallo Utile Segnala un abuso;Caffè buono;Ottima macchinetta. È  semplice da usare e va bene sia con le capsule originali sia con quelle compatibili che si trovano al supermercato.
4;27-gen-18;Stile: InissiaColore: Nero Utile Segnala un abuso;Ok;Ottima per qualità/prezzo- un po' rumorosa. È molto compatta ma il serbatoio delle capsule usate è poco capiente mentre il serbatoio dell' acqua è ben dimensionato.
4;26-gen-18;Stile: InissiaColore: Nero Utile Segnala un abuso;buona;Presa per mio suocero in offerta e devo dire che è un buon giocattolino fa un buon caffè ed è molto piccola e anche bella
5;26-gen-18;Stile: InissiaColore: Nero Utile Segnala un abuso;Ottimo prodotto;Buon rapporto qualità/ prezzo. Prodotto che ha soddisfatto le aspettative e la descrizione dello'oggetto. Design compatto che permette di occupare poco spazio
5;25-gen-18;Stile: InissiaColore: Sky Blue Utile Segnala un abuso;Super soddisfatta;Ottima macchinetta nulla da dire.Piccola ma efficiente- non mi ha  dato nessun problema e la uso tutti i giorni. Le persone che si lamentano che il caffè erogato è  poco o troppo dovrebbero leggere le istruzioni prima di parlare perché è possibile regolare la quantità.Io caffè nespresso è a mio parere il migliore e il rapporto qualità prezzo è ottimo. In commercio esistono molte cialde compatibili anche a prezzi decisamente inferiori ma la qualità lascia a desiderare nellla maggior parte dei casi.La comprerei altre 100 volte
5;25-gen-18;Stile: InissiaColore: Giallo Utile Segnala un abuso;Nespresso Inissia;Già possessori della macchinetta da caffè- l’acquistiamo per un regalo natalizio- consapevoli della qualità dell’oggetto già testato in casa nostra con la qualità della Nespresso per un ottimo Caffè espresso.
4;24-gen-18;Stile: InissiaColore: Nero Utile Segnala un abuso;ottima ma;Avrei voluto dare 5 stelle ma proprio oggi dopo circa 10 giorni dal suo arrivo la modalità espresso ha deciso di settarsi su un caffè lungoooooo.In generale è un apparecchio di facile pulitura anche se tende a gocciolare.Rispetto a tante macchine più care mi sembra di poter asserire di essere molto soddisfatto.
5;24-gen-18;Stile: InissiaColore: Nero Utile Segnala un abuso;Molto soddisfatta;Il prodotto è arrivato entro il termine previsto.Il caffè viene buono e la macchinetta è piccola e compatta- quindi molto comoda in quanto occupa poco spazio. Altro caratteristica positiva è che dall'accensione ci mette solo qualche secondo a scaldarsi per poter fare il caffè.
5;24-gen-18;Stile: InissiaColore: Giallo Utile Segnala un abuso;OTTIMO ACQUISTO;La consegna è arrivata prima dei tempi previsti- il prodotto è funzionante e ha soddisfatto l'esigenza per cui l'ho comprata- viene usata per circa 40 caffè al giorno e va alla grande.Soddisfatto dell'acquisto.
5;23-gen-18;Formato: Cucina Utile Segnala un abuso;ottima;ho acquistato questa macchinetta  con il buono capsule da 30 €  sono molto soddifatta - pratica  veloce  ed esteticamente carina  nel colorpanna  la consiglio
5;22-gen-18;Stile: InissiaColore: Nero Utile Segnala un abuso;che dire... favolosa;semplice- elegante- e... che buon caffè.per chi come me non beve latte e vuole solo il semplice sapore del caffè è ottima.
5;22-gen-18;Stile: InissiaColore: White Utile Segnala un abuso;Consigliatissima.;Consegna rapida e pacco in ottime condizioni. La macchina è perfetta e funziona benissimo. Leggermente rumorosa ma meno di altre che ho avuto. Basta seguire le istruzioni e già il primo caffè è ottimo. Buona selezione di capsule in omaggio. Consigliatissimo!
5;22-gen-18;Stile: InissiaColore: Giallo Utile Segnala un abuso;Nespresso-what else?;La mia vecchia Nespresso dopo 9 anni ha cominciato a fare capricci: volevo aggiustarla-ma la spese era alta-per cui ho approfittato dell'offerta Amazon ed ho acquistato Inissia-modello minore della mia precedente-ma provata a casa di mio figlio a Milano.
5;22-gen-18;Stile: InissiaColore: Nero Utile Segnala un abuso;Piccola ma grande;Piccola- pratica e semplice. Questa macchina per il caffè è sorprendente in quanto esalta il gusto del caffè con la sua potenza di ben 19 bar in erogazione
4;21-gen-18;Stile: InissiaColore: White Utile Segnala un abuso;Elegante;Già avuta in passato la macchina- questa acquistata per regalo. È la macchina per eccellenza- funzionante ed elegante. Arrivata nei tempi prestabiliti.
5;21-gen-18;Stile: InissiaColore: Giallo Utile Segnala un abuso;ottimo prodotto;Prodotto eccezzionale ottima fattura delonghi del resto- eccezzionale anche il caffè- ottimo prodotto sia per comodità che facilità nell'utilizzo.consiglio vivamente l'acquisto
5;21-gen-18;Stile: InissiaColore: Giallo Utile Segnala un abuso;Piccola dimensione ma gusto ottimo;Ottima macchina del caffè- il gusto è davvero buono la manutenzione è facile senza parlare dell’installazione. Sono molto contento anche della spedizione. La cosa migliore è che è davvero piccola ed occupa pochissimo spazio
4;21-gen-18;Stile: InissiaColore: Nero Utile Segnala un abuso;buona macchina;buon acquisto una macchina per caffè a capsule semplice da usare poco ingombrante facile la manutenzione il caffè viene bello cremoso si possono scegliere due modalità corto/lungo soddisfatta
4;21-gen-18;Stile: InissiaColore: Giallo Utile Segnala un abuso;Ottimo prodotto;Inizialmente sono rimasto deluso in quanto la qualità del caffè non era come me lo aspettavo. Il mio parere è decisamente cambiato dopo l'utilizzo per un paio di settimane.
5;20-gen-18;Stile: InissiaColore: Nero Utile Segnala un abuso;Semplice e funzionale;Acquisto eccezionale visto il prezzo e il buono acquisto sulle cialde originali che consiglio.La macchina più semplice in assoluto ma se volete semplicemente il caffè senza fronzoli è perfetta
4;20-gen-18;Stile: InissiaColore: Nero Utile Segnala un abuso;Macchina Nespresso;Comprata x un regalo ed è piaciuta molto- apprezzato anche il funzionamento semplice e il buono di caffè Nespresso omaggio- soddisfatto- consiglio acquisto
5;20-gen-18;Stile: InissiaColore: Giallo Utile Segnala un abuso;Ottimo prodotto;Macchina davvero ottima fa un caffè delizioso-  é come essere al bar.. bastano circa trenta secondi per essere pronta molto bello anche il design ed occupa pochissimo spazio
5;20-gen-18;Stile: InissiaColore: Nero Utile Segnala un abuso;Perfetta;Ottimo rapporto qualità prezzo.Caffè buono e cremoso. Macchina del caffè piccola e facile da usare.Spedizione veloce e imballo perfetto.Pienamente soddisfatta sia del prodotto sia del sito Amazon
5;20-gen-18;Stile: InissiaColore: Nero Utile Segnala un abuso;Perfetto;Conoscevo già il prodotto in quanto un amico lo aveva acquistato a suo tempo... Soddisfa senza dubbio tutte le mie esigenze.
5;20-gen-18;Stile: InissiaColore: Giallo Utile Segnala un abuso;Caffè per sempre;Semplicemente perfetta- caffè cremoso e facile utilizzo- in casa e al lavoro- compatibile con tanti marchi di capsule.  Consegna impeccabile. Consiglio ampiamente.
1;19-gen-18;Stile: InissiaColore: Giallo Utile Segnala un abuso;Deluso !!;Macchina restituita dopo due giorni- estremamente delicata- arrivata con un difetto di fabbrica- un volta inserita la capsula all’interno- la chiusura risultava molto difficoltosa- biosogna impiegare un po’ di forza per chiudere e di conseguenza la cialda si accortocciava! Chiesto ed ottenuto subito il rimborso ed optato per un altra macchina!
4;19-gen-18;Stile: InissiaColore: White Utile Segnala un abuso;Macchina da caffè Nespresso Inissia XN1001;Spedizione e ricezione nei tempi previsti- macchina perfettamente imballata. Il prodotto funziona benissimo e il Caffè è molto buono- ho usufruito anche del buono di 30€ per l'acquisto di nuove calde- recandomi in una boutique Nespresso.
4;18-gen-18;Stile: InissiaColore: Nero Utile Segnala un abuso;bella;questa macchietta del caffe è molto carina ed ingombra pochissimo- purtroppo il primo caffe è sempre  freddo quindi bisogna fare scorrere l acqua per poi inserire la prima capsula- una volta accesa si riscalda velocemente quindi è un ottimo prodotto
